UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,XSTUFACR,STUFACR 
458821,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",24,"R",69,"A",,"A",,"A",,"A",,"A",,"R",19
458830,"A",,"A",,"A",,"R",69,"R",0,"R",69,"R",42,"R",61,"R",33,"R",0,"R",33,"R",26,"R",79,"R",21
458849,"A",,"A",,"A",,"R",61,"R",0,"R",61,"R",54,"R",89,"R",12,"R",0,"R",12,"R",10,"R",83,"R",23
458858,"A",,"A",,"A",,"R",37,"R",0,"R",37,"R",19,"R",51,"R",8,"R",0,"R",8,"R",4,"R",50,"R",20
458867,"A",,"A",,"A",,"R",61,"R",0,"R",61,"R",43,"R",70,"R",11,"R",0,"R",11,"R",9,"R",82,"R",20
458885,"A",,"A",,"A",,"R",0,"R",0,"R",0,"R",0,"A",,"R",5,"Z",0,"R",5,"R",1,"R",20,"R",11
458919,"R",27,"R",852,"R",3,"R",14,"Z",0,"R",14,"R",6,"R",43,"R",157,"Z",0,"R",157,"R",42,"R",27,"R",19
458937,"R",2,"R",37,"R",5,"R",0,"Z",0,"R",0,"R",0,"A",,"R",3,"Z",0,"R",3,"R",0,"R",0,"R",15
458955,"R",1,"R",40,"R",3,"R",0,"R",0,"R",0,"R",0,"A",,"R",4,"Z",0,"R",4,"R",0,"R",0,"R",9
458964,"R",14,"R",344,"R",4,"R",6,"Z",0,"R",6,"R",1,"R",17,"R",63,"Z",0,"R",63,"R",14,"R",22,"R",23
458973,"R",10,"R",328,"R",3,"R",5,"Z",0,"R",5,"R",0,"R",0,"R",58,"Z",0,"R",58,"R",15,"R",26,"R",12
458982,"R",132,"R",440,"R",30,"R",73,"Z",0,"R",73,"R",35,"R",48,"R",50,"Z",0,"R",50,"R",20,"R",40,"R",21
458991,"R",29,"R",68,"R",43,"R",6,"R",0,"R",6,"R",4,"R",67,"R",1,"R",0,"R",1,"R",1,"R",100,"R",15
459000,"A",,"A",,"A",,"R",41,"R",1,"R",40,"R",24,"R",60,"R",9,"R",0,"R",9,"R",4,"R",44,"R",13
459019,"A",,"A",,"A",,"R",42,"R",0,"R",42,"R",26,"R",62,"R",16,"R",0,"R",16,"R",6,"R",38,"R",20
459028,"A",,"A",,"A",,"R",16,"R",0,"R",16,"R",11,"R",69,"R",5,"R",0,"R",5,"R",3,"R",60,"R",14
459037,"A",,"A",,"A",,"R",37,"R",0,"R",37,"R",19,"R",51,"R",15,"R",0,"R",15,"R",10,"R",67,"R",18
459046,"A",,"A",,"A",,"R",36,"R",0,"R",36,"R",25,"R",69,"R",13,"R",0,"R",13,"R",8,"R",62,"R",18
459055,"A",,"A",,"A",,"R",26,"R",0,"R",26,"R",22,"R",85,"R",8,"R",0,"R",8,"R",6,"R",75,"R",18
